Bewick_Thos	Thomas Bewick?! Thomas Bewick	artist?! wood engraver?! naturalist?! literary	http://viaf.org/viaf/2629144
Bewick_Wm	William Bewick?! William Bewick	artist?! portrait painter?! history painter	http://viaf.org/viaf/19317711
Bickerstaff_Is	Isaac John Bickerstaffe Bickerstaff	military?! literary	http://viaf.org/viaf/17259955
Bint_Hannah	Bint Hannah	unknown	
Birkbeck_M	Morris Birkbeck	literary?! politician?! agricultural experimenter?! pioneer	http://viaf.org/viaf/19849972
Blackwood_Wm	Blackwood William	literary?! publisher?! editor	http://viaf.org/viaf/71247984
Blake_Wm	William Blake	literary?! artist?! engraver	http://viaf.org/viaf/54144439
Body_Ann	Body Ann	farmer	
Body_Richard	Body Richard		
Bohn_GH	Bohn George Henry	literary?! publisher?! bookseller?! editor?! auctioneer	http://viaf.org/viaf/12688740
Bolinbroke	Henry St. John?! Lord Bolinbroke?! 1st Viscount Bolingbroke	politician	http://viaf.org/viaf/61539796
Booth_Mr	Booth		
Boswell	James Boswell?! 9th Laird of Auchinlek	literary	http://viaf.org/viaf/64002337
Bowles_Wm	Bowles William Lisle	clergy?! poet?! literary?! antiquarian	http://viaf.org/viaf/696177
Bradshaw_hist	John Bradshaw?! John Bradshaw Bradshawe	legal?! magistrate	http://viaf.org/viaf/58025849
Brent_George	Brent George	innkeeper Three Mile Cross George and Dragon	
Brent_Joel	Brent Joel	possibly beer retailer	
Brent_Lizzy	Brent Eliza?! Brent Lizzy		
Broghill	Roger Boyle, Lord Broghill?! Roger Boyle Lord Broghill Baron Boyle of Broghill 1st Earl of Orrerey member of Parliament for Arundel	playwright?! literary?! military?! political	http://viaf.org/viaf/73979816
Bromley_William	Bromley William	baker?! shopkeeper in Three Mile Cross	
Bronte_E	Bronte Emily Jane	literary?! poet?! novelist?! governess	http://viaf.org/viaf/97097302
Brooke_Miss	Miss Brooke Brooke		
Brougham_H	Henry Peter Brougham?! 1st Baron Brougham and Vaux?! Lord Chancellor	legal?! political	http://viaf.org/viaf/334592194
Broughton_Betsy	Betsy Broughton		
Brown_Benjamin	Brown Benjamin	blacksmith?! postmaster at Three Mile Cross	
Brown_Thos	Browne Thomas	medical?! literary	http://viaf.org/viaf/61539796
Browning_Rob	Robert Browning		http://viaf.org/viaf/24598774
Bruce_James	James Bruce of Kinnaird?! Bruce James	Traveller in Africa	
Brumoy_Pierre	Brumoy Pierre Father	clergy?! literary	http://viaf.org/viaf/24624020
Brunton_Alexander	Alexander Brunton?! Minister, Church of Scotland?! Moderator of the General Assembly, Church of Scotland?! Professor of Hebrew and Oriental Languages, University of Edinburgh?! Professor Very Reverend Alexander Brunton, D.D.	clergy?! scholar	
Brunton_Mary	Mary Balfour Brunton	literary	http://viaf.org/viaf/34532515
Brutus	Marcus Junius Brutus	assassin?! rebel?! republican?! senator?! politician?! military?! orator	http://viaf.org/viaf/63975332
Bulley_F	Frederick Bulley?! Bulley Frederick	academic	http://viaf.org/viaf/41568341
Bullock_Wm	Bullock William	naturalist?! antiquarian?! goldsmith?! jeweller?! traveller?! museum curator	http://viaf.org/viaf/17052870
Bulwer_Lytton	Bulwer-Lytton Edward George Earle?! 1st Baron Lytton of Knebworth Member of Parliament Rector of the University of Glasgow	literary?! novelist?! poet?! playwright?! politician	http://viaf.org/viaf/99871326
Burdett_F	Sir Francis Burdett?! Burdett Francis Sir 5th Baronet of Bramcote member of Parliament	government?! politician	http://viaf.org/viaf/75338116
Burgess	Mr. Burgess		
Burke_E	Edmund Burke	literary?! politician	http://viaf.org/viaf/100173535
Burney_F	Frances Burney?! Madamed’Arblay	literary	http://viaf.org/viaf/95297439
Burney_SH	Sarah Harriet Burney?! Miss Burney	literary	http://viaf.org/viaf/30359830
Burns_Rob	Robert Burns	literary?! poet?! tax collector?! farmer	http://viaf.org/viaf/32012434
Butler_Mr	Butler	merchant	
Butler_Sam	Samuel Butler	literary	http://viaf.org/viaf/64028293
Byron	Byron George Gordon Noel sixth Baron Byron	literary	http://viaf.org/viaf/95230688
Byron_Annab	Annabella Anne Isabella Milbanke Noel Byron?! Baroness Byron?! Baroness Wentworth?! Baroness Noel-Byron?! A. I. Noel Byron		http://viaf.org/viaf/67258879
Campbell_Thos	Thomas Campbell		http://viaf.org/viaf/39510901
Canning_George	George Canning?! George Canning?! Member of Parliament Prime Minister of the United Kingdom Chancellor of the Exchequer Secretary of State for Foreign Affairs Leader of the House of Commons President of the Board of Control Leader of the House of Commons Treasurer of the Navy	politician?! ambassador?! orator	http://viaf.org/viaf/7443935
Cartwright_Maj	John Cartwright?! ?! Royal Navy officer?! Major, Nottinghamshire militia	political reformer?! military	http://viaf.org/viaf/15552299
Cassius	Gaius Cassius Longinus?! Longius Gaius Cassius		http://viaf.org/viaf/25397785
Castlereagh_RS	Robert Stewart Lord Castlereagh 2nd Marquess of Londonderry Secretary of State for Foreign Affairs Leader of the House of Commons Secretary of State for War and the Colonies President of the Board of Control Chief Secretary for Ireland	politician	http://viaf.org/viaf/15560591
Cervantes	MigueldeCervantes Saavedra?! Don Miguel de Cervantes Saavedra	literary?! military?! tax collector	http://viaf.org/viaf/17220427
Chalmers_Alex	Alexander Chalmers	literary	http://viaf.org/viaf/20543801
Chantrey_F	Francis Legatt Chantrey	artist?! sculptor	http://viaf.org/viaf/121983436
CharlesSpencer	Charles Spencer?! Charles Spencer	critic	
Chas_SpencerChurchill	Charles Spencer-Churchill?! Lord Charles Spencer-Churchill?! Member of Parliament	military?! politician	
ChasI	Charles Stuart Charles I King of England, Scotland, France and Ireland, Defender of the Faith, etc.	king	http://viaf.org/viaf/67750325
ChasII	Charles Stuart?! Charles II King of England, Scotland, France and Ireland, Defender of the Faith, etc.	king	http:http://viaf.org/viaf/3265477
Chatfield_Mr	Edward Chatfield?! Edward Chatfield	painter and author	http://viaf.org/viaf/96130441
Chaucer	Geoffrey Chaucer	literary?! philosopher?! astronomer	http://viaf.org/viaf/100185203
Chorley_HF	Chorley Fothergill Henry	literary?! journalist?! music critic	http://viaf.org/viaf/56757298
Christie_JH	Jonathan Henry Christie John Henry Christie	literary	
Clargo_Meremoth	Meremoth? Clargo?	shopkeeper	
Clarke_ED	Edward Daniel Clarke?! Dr. Clarke?! Professor of Mineralogy at Cambridge University	traveller?! literary?! naturalist	http://viaf.org/viaf/15552626
Clarke_William	Clarke William	baker?! shopkeeper at Three Mile Cross	
Clement6_Pope	Pope Clement 6?! Roger Pierre	religion	
Cobbett_Wm	Member of Parliament for Oldham		http://viaf.org/viaf/101963169
Coffin_Mrs	Mrs.Coffin		
Colburn	Colburn Henry	publisher?! editor	http://viaf.org/viaf/90644401
Colburn_H	Colburn Henry	literary?! publisher?! bookseller	http://viaf.org/viaf/90644401
Coleridge_ST	Coleridge Samuel Taylor	literary	http://viaf.org/viaf/24599809
Collins_little	Collins Thomas "little Collins"	actor	http://viaf.org/viaf/78974331
Collins_Wm	William Collins	literary?! poet	http://viaf.org/viaf/79091605
Colman_the_Elder	George Colman the Elder?! George Coleman George Colman the Elder	literary?! playwright?! essayist?! theater manager	http://viaf.org/viaf/76330307
Colman_the_Younger	Colman George the Younger the licenser		http://viaf.org/viaf/30345422
Congreve_Wm	Congreve William	literary?! playwright?! poet	http://viaf.org/viaf/24616924
Cook_CaptJ	James Cook?! Cook James Captain	navigator?! cartographer?! captain	 http://viaf.org/viaf/31994819
Cooper_Mr	Cooper		
Corneille	Corneille Pierre	literary?! playwright	http://viaf.org/viaf/41838293
Cosway_Rich	Richard Cosway?! Cosway Richard member of the Royal Academy	artist?! painter?! miniaturist	
Coutts_HM	Harriot Mellon Coutts Beauclerk,Duchess of St. Albans	actor?! banking	http://viaf.org/viaf/45757542
Coutts_T	Thomas Coutts	banking	http://viaf.org/viaf/48221153
Cowley_H	Hannah Cowley?! Parkhouse Cowley Hannah	literary?! playwright?! poet	http://viaf.org/viaf/34730405
Cowper	William Cowper	literary	http://viaf.org/viaf/32009788
Cowslade_F	Francis Cowslade Frank?! Frank Cowslade		
Coxe_Wm	William Coxe Master of Arts Fellow of the Royal Society Fellow of the Society of Antiquaries Archdeacon of Wilts	clergy?! historian	http://viaf.org/viaf/9856822
Cripps_JM	John Marten Cripps	traveller?! antiquary	http://viaf.org/viaf/31522761
Croker_JW	John Wilson Croker?! Member of Parliament	literary?! politician	http://viaf.org/viaf/51766984
Croly_G	George Croly	literary?! clergy	http://viaf.org/viaf/17268011
Cromwell	Cromwell Oliver?! Lord Protector of the Commonwealth of England, Scotland, and Ireland Member of Parliament for Cambridge Member of Parliament for Huntingdon	military?! government?! political	http://viaf.org/viaf/34498004
Cromwell_Hen	Henry Cromwell Henry Cromwell?! Lord Lieutenant of Ireland Chancellor of Trinity College, Dublin	military?! political	http://viaf.org/viaf/7276701
Cropp_Mrs	Cropp Elizabeth?! Croppy		
Crowther_Mr	Mr. Crowther		
Culpepper_Mr	William Alleyne Culpeper?! William Alleyne Culpeper		
Culpepper_Mrs	Martha Carteretta Cornelia Valpy Straker Culpeper?! Valpy Straker Culpeper Martha Carteretta Cornelia?! Mrs. Culpepper		
Cumberland_J	Cumberland John	literary?! publisher?! editor	http://viaf.org/viaf/78373314
Cumberland_Rich	Cumberland Richard	literary?! playwright?! civil servant?! diplomat	http://viaf.org/viaf/76451457
d_Aubigné_Françoise	d’Aubigné Françoise Marquise de Maintenon Madame Scarron	political?! courtier?! philanthropist?! educator	http://viaf.org/viaf/95293754
